item_id,noun,det,construction,item_type,vp_set,sentence
c091,folks,three,existential,critical,14,There were three folks sleeping on the floor.
c092,folks,three,agentive,critical,14,Three folks slept on the floor.
c093,folks,three,existential,critical,15,There were three folks eating lunch in the break room.
c094,folks,three,agentive,critical,15,Three folks ate lunch in the break room.
c095,folks,three,existential,critical,16,There were three folks reading in the waiting area.
c096,folks,three,agentive,critical,16,Three folks read in the waiting area.
c097,folks,several,existential,critical,1,There were several folks waiting in the lobby.
c098,folks,several,agentive,critical,1,Several folks waited in the lobby.
c099,folks,several,existential,critical,2,There were several folks sitting on the bench.
c100,folks,several,agentive,critical,2,Several folks sat on the bench.
c101,folks,several,existential,critical,3,There were several folks standing by the door.
c102,folks,several,agentive,critical,3,Several folks stood by the door.
c103,folks,several,existential,critical,4,There were several folks walking down the hall.
c104,folks,several,agentive,critical,4,Several folks walked down the hall.
c105,folks,several,existential,critical,5,There were several folks gathered near the entrance.
c106,folks,several,agentive,critical,5,Several folks gathered near the entrance.
c107,folks,several,existential,critical,6,There were several folks lined up outside.
c108,folks,several,agentive,critical,6,Several folks lined up outside.
c109,folks,several,existential,critical,7,There were several folks crowding around the table.
c110,folks,several,agentive,critical,7,Several folks crowded around the table.
c111,folks,several,existential,critical,8,There were several folks chatting in the kitchen.
c112,folks,several,agentive,critical,8,Several folks chatted in the kitchen.
c113,folks,several,existential,critical,9,There were several folks huddled by the fire.
c114,folks,several,agentive,critical,9,Several folks huddled by the fire.
c115,folks,several,existential,critical,10,There were several folks milling about in the corridor.
c116,folks,several,agentive,critical,10,Several folks milled about in the corridor.
c117,folks,several,existential,critical,11,There were several folks loitering near the gate.
c118,folks,several,agentive,critical,11,Several folks loitered near the gate.
c119,folks,several,existential,critical,12,There were several folks sheltering under the awning.
c120,folks,several,agentive,critical,12,Several folks sheltered under the awning.
c121,folks,several,existential,critical,13,There were several folks arguing in the hallway.
c122,folks,several,agentive,critical,13,Several folks argued in the hallway.
c123,folks,several,existential,critical,14,There were several folks sleeping on the floor.
c124,folks,several,agentive,critical,14,Several folks slept on the floor.
c125,folks,several,existential,critical,15,There were several folks eating lunch in the break room.
c126,folks,several,agentive,critical,15,Several folks ate lunch in the break room.
c127,folks,several,existential,critical,16,There were several folks reading in the waiting area.
c128,folks,several,agentive,critical,16,Several folks read in the waiting area.
fg01,NA,NA,NA,filler_good,NA,The children played in the yard all afternoon.
fg02,NA,NA,NA,filler_good,NA,She locked the door before leaving the house.
fg03,NA,NA,NA,filler_good,NA,Two large dogs ran across the empty road.
fg04,NA,NA,NA,filler_good,NA,The manager approved the budget on Friday.
fg05,NA,NA,NA,filler_good,NA,Several old photographs were found in the attic.
fg06,NA,NA,NA,filler_good,NA,He finished reading the report before dinner.
fg07,NA,NA,NA,filler_good,NA,Three red cars were parked outside the building.
fg08,NA,NA,NA,filler_good,NA,The teacher explained the problem very clearly.
fg09,NA,NA,NA,filler_good,NA,Many tall trees line the edge of the park.
fg10,NA,NA,NA,filler_good,NA,She remembered to bring the keys this time.
fg11,NA,NA,NA,filler_good,NA,The train arrived exactly on schedule.
fg12,NA,NA,NA,filler_good,NA,Several new shops opened on the high street.
fm01,NA,NA,NA,filler_mild,NA,The horse raced past the barn fell.
fm02,NA,NA,NA,filler_mild,NA,The old man the boats during the summer months.
fm03,NA,NA,NA,filler_mild,NA,The fact that the student who the professor liked failed surprised everyone.
fm04,NA,NA,NA,filler_mild,NA,What did you wonder whether she bought?
fm05,NA,NA,NA,filler_mild,NA,Who do you think that saw the accident?
fm06,NA,NA,NA,filler_mild,NA,There seemed to appear to be a problem.
fm07,NA,NA,NA,filler_mild,NA,The report that the committee had finally submitted was longer than expected.
fm08,NA,NA,NA,filler_mild,NA,More people than originally anticipated showed up for the event.
fm09,NA,NA,NA,filler_mild,NA,The reason he gave for not attending sounded quite implausible to us.
fm10,NA,NA,NA,filler_mild,NA,It was generally believed by most people that she had already resigned.
fm11,NA,NA,NA,filler_mild,NA,What she actually said to him at the meeting was never entirely clear.
fm12,NA,NA,NA,filler_mild,NA,Rarely if ever does anyone bother to check the figures twice.
fd01,NA,NA,NA,filler_degraded,NA,Him and me went to the store yesterday morning.
fd02,NA,NA,NA,filler_degraded,NA,She suggested him to leave the room immediately.
fd03,NA,NA,NA,filler_degraded,NA,He denied to have seen the suspect that evening.
fd04,NA,NA,NA,filler_degraded,NA,Them gave we the wrong directions to the hotel.
fd05,NA,NA,NA,filler_degraded,NA,She explained him the rules of the game carefully.
fd06,NA,NA,NA,filler_degraded,NA,The children was playing outside when it started raining.
fd07,NA,NA,NA,filler_degraded,NA,He insisted her to come along to the meeting.
fd08,NA,NA,NA,filler_degraded,NA,Us went to the park after the movie ended.
fd09,NA,NA,NA,filler_degraded,NA,She mentioned him that the deadline had been moved.
fd10,NA,NA,NA,filler_degraded,NA,The students has been working on the project all week.
fd11,NA,NA,NA,filler_degraded,NA,The committee have made their decision and it are final.
fd12,NA,NA,NA,filler_degraded,NA,He recommended her to apply for the position immediately.
fu01,NA,NA,NA,filler_ungram,NA,The walked dog the park in yesterday afternoon.
fu02,NA,NA,NA,filler_ungram,NA,She already been have left the building completely.
fu03,NA,NA,NA,filler_ungram,NA,Into put the bag the groceries she all of.
fu04,NA,NA,NA,filler_ungram,NA,The very ran quickly dog across the field today.
fu05,NA,NA,NA,filler_ungram,NA,Been sleeping is he since early this morning still.
fu06,NA,NA,NA,filler_ungram,NA,There cats two are the on mat sitting now.
fu07,NA,NA,NA,filler_ungram,NA,Gave the to her book he the wrong one.
fu08,NA,NA,NA,filler_ungram,NA,The from house the walked man slowly away then.
fu09,NA,NA,NA,filler_ungram,NA,Not she does understand the at question all here.
fu10,NA,NA,NA,filler_ungram,NA,Yesterday the were playing children outside in rain.
fu11,NA,NA,NA,filler_ungram,NA,To she tried the open but door was locked.
fu12,NA,NA,NA,filler_ungram,NA,Books the are on shelves the in wrong the order.
